Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Kenya,KEN,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,72.6540374755859
Kenya,KEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.312
Kenya,KEN,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,5.19815200560914
Nigeria,NGA,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,57.8193588256836
Nigeria,NGA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.636
Nigeria,NGA,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/07/2025,,,,
